,MedHouseVal
2962,0.707
19184,1.833
18859,1.125
3214,0.463
18916,1.955
16667,2.425
2265,0.896
14125,1.08
2462,0.392
18893,1.227
9326,2.671
748,2.407
8766,3.0
19039,1.783
3787,2.2
18117,5.00001
5521,1.564
14637,1.345
1803,1.678
10929,2.656
1424,1.783
6783,2.271
1220,1.04
15616,4.25
15238,2.633
4743,1.839
16147,0.577
4680,5.00001
20345,1.159
18635,1.057
6881,1.141
13670,1.035
7786,1.458
9000,1.181
15007,1.31
8414,1.58
11893,1.455
11080,2.0
4184,2.045
3421,1.543
16066,0.59
4361,1.875
19419,1.786
4999,1.491
20395,1.875
8714,2.448
12208,1.611
6751,1.917
20267,2.426
12772,1.166
181,1.266
7309,1.743
13133,3.041
2448,0.792
19698,1.32
38,1.914
13404,0.704
16585,1.848
6895,1.639
11731,1.629
8491,3.458
8586,3.684
20027,2.341
566,2.293
14850,1.276
13695,0.555
6260,1.683
19292,1.376
20275,1.709
4724,1.271
9515,1.216
3061,0.84
1573,1.885
6539,5.00001
18891,1.464
18712,1.127
15779,2.75
9524,1.262
834,1.886
16942,2.11
5309,5.00001
14081,1.192
18025,4.112
4750,2.232
17363,2.125
829,2.17
3999,2.218
18524,3.355
8662,3.534
16486,2.269
14955,1.125
8659,3.428
11029,2.541
2969,0.467
9318,4.583
11532,2.63
388,2.242
13337,0.953
5221,5.00001
13210,1.125
17033,3.643
7533,0.936
5699,1.875
1447,1.449
4457,1.336
2386,0.944
4255,2.0
9839,1.398
3307,1.057
468,1.659
8672,3.1
13259,2.011
14919,2.269
483,1.982
16379,0.919
10323,4.474
18088,3.167
20286,1.866
8936,1.83
15158,2.9
7899,1.841
4523,0.875
19759,1.338
1972,1.559
1099,0.953
8649,3.412
2006,0.485
17381,2.125
19335,1.494
6993,1.74
4100,2.17
6218,1.63
16247,1.379
16469,2.567
8946,4.481
19553,1.188
19284,1.45
13771,1.088
18515,3.518
14887,1.873
5139,0.898
8283,1.89
17220,1.818
343,0.828
9057,1.466
18826,1.404
16534,3.362
7407,1.464
4185,2.089
17506,2.403
14630,1.348
15138,3.698
5196,0.976
7406,1.443
6616,2.837
10735,2.134
8794,5.00001
15443,2.399
4992,1.403
7243,1.646
9689,3.77
10985,1.531
9518,1.172
207,1.325
19344,1.25
9293,3.932
5989,1.178
2156,0.803
16047,0.525
11343,3.393
8562,4.727
8416,1.528
5036,1.08
17833,2.93
2182,1.054
7621,1.716
20245,5.00001
14489,1.775
15701,3.556
6866,5.00001
17878,2.746
8600,3.553
6789,2.118
4705,3.336
12916,2.147
12418,0.841
19493,1.224
13327,0.974
1995,0.612
4746,1.688
10504,2.014
19117,1.856
5439,3.39
9285,5.00001
18134,5.00001
4363,1.575
17144,5.00001
10960,2.342
16533,0.425
11644,1.222
9562,0.972
6105,1.665
17548,1.152
3466,5.00001
19796,0.446
8171,1.063
6348,3.772
77,1.083
10050,2.917
8637,2.815
366,3.3
17305,2.072
13787,0.75
8970,1.2
2949,1.062
19603,0.544
6518,1.821
18276,2.345
7589,2.003
9703,1.646
11919,2.442
5627,3.119
17618,1.64
9612,1.599
15604,3.462
6477,1.625
5993,1.181
17486,2.535
8376,2.225
15896,2.642
6142,1.686
6964,1.695
4146,1.482
2477,0.66
15585,3.333
15304,1.475
447,2.207
1667,2.037
5329,2.542
13774,0.75
15426,1.455
17447,3.447
16651,3.229
9315,5.00001
14335,3.119
6068,1.514
19356,0.996
14103,1.378
9726,4.68
6353,2.736
7135,1.26
7945,2.195
18000,2.914
12954,1.156
11314,3.426
7188,1.646
11737,1.188
82,1.125
14053,1.583
4659,4.569
1840,1.094
8533,3.359
2445,1.016
3264,0.947
4549,4.0
14749,1.313
19498,1.384
1905,1.722
11733,1.854
16771,5.00001
12895,2.761
4673,3.273
14697,3.688
18229,5.00001
7629,2.043
6773,2.273
4401,1.155
7269,1.561
19600,0.574
8842,2.906
1169,0.567
16720,2.125
17641,2.152
3654,1.785
14343,5.00001
7928,1.608
6147,1.889
5940,2.125
2856,0.613
15408,1.905
16762,3.722
821,1.692
7433,0.967
11113,1.681
14784,1.063
8729,5.00001
15502,3.75
18048,2.495
1300,1.31
16828,3.938
17858,2.653
4431,1.531
12217,1.031
4159,1.854
9298,2.0
1371,1.294
12721,3.833
15146,2.951
18119,5.00001
4753,1.271
16373,1.921
14931,2.105
12287,1.523
13061,2.43
18546,1.188
11370,2.167
15528,2.75
14178,1.406
8849,3.25
4009,5.00001
12881,1.43
3309,1.194
11309,2.956
16425,3.224
16974,5.00001
13663,1.118
8688,3.395
10716,4.846
8721,5.00001
12178,1.49
19735,0.846
4106,1.781
13366,1.332
5929,1.672
12644,1.434
15954,4.062
19194,2.417
16862,4.303
13936,1.4
7173,1.589
19138,2.159
9223,0.675
14835,1.708
1680,2.186
4519,2.25
18162,4.255
16997,5.00001
13920,1.727
7436,1.064
16515,2.096
7660,2.835
1517,2.5
6667,3.147
7508,1.051
13354,1.185
10824,1.653
114,2.431
1406,2.357
4364,1.843
3617,1.831
2840,0.831
5034,0.914
17783,2.44
6211,1.539
739,1.84
8057,1.28
11579,2.264
17569,3.553
14612,1.7
15398,1.5
5486,3.636
18300,2.627
4611,4.75
16446,1.948
6909,1.824
8269,1.279
16302,1.528
15883,5.00001
345,0.821
6592,1.58
10492,2.374
8847,3.667
8052,1.906
18900,1.158
16991,4.178
9116,2.651
7204,1.428
1671,1.477
19178,2.508
11176,1.914
9635,1.232
4926,1.16
16368,1.022
10891,2.138
11974,5.00001
19418,1.75
8835,5.00001
9591,0.475
13780,0.658
17060,2.795
10287,2.48
7209,1.125
15887,5.00001
17683,1.789
4502,1.396
4442,1.355
6834,1.792
6823,1.703
4914,1.08
14254,5.00001
5945,1.587
1492,2.671
6215,1.819
13030,1.003
5121,0.948
6780,2.08
7266,1.618
3458,3.017
8612,2.821
9485,0.728
14098,1.25
837,2.614
14863,1.42
6582,1.554
12553,0.703
15777,2.813
16567,2.708
12991,0.525
7351,1.709
5970,1.313
6970,1.52
13746,1.745
11858,1.299
20200,3.585
18863,1.403
9476,1.038
1361,1.659
7790,1.483
14412,1.325
10248,2.314
2882,0.425
8788,5.00001
16600,2.904
19454,0.95
11022,1.951
12377,0.903
8922,3.137
13205,1.44
17215,1.589
9313,5.00001
11174,2.275
16694,2.417
19755,0.877
14796,0.983
8974,1.44
3817,2.21
4967,1.28
10864,1.625
7904,1.375
12764,1.2
9418,1.75
3321,1.321
14815,2.905
3258,0.807
10116,1.947
4899,1.034
2541,0.67
17074,5.00001
5622,2.534
6889,1.658
5500,4.321
18224,4.592
12974,1.186
18565,0.665
11483,2.117
10346,2.942
17419,2.206
9466,0.859
2901,0.723
4142,1.868
67,0.813
18718,1.27
69,1.292
15816,2.518
9856,1.779
7926,1.698
1717,0.764
18093,3.343
15041,1.601
6566,2.616
15081,3.279
5832,2.938
10423,3.056
9338,4.244
12188,0.55
5436,3.458
17594,3.026
6231,1.573
12441,1.378
12210,1.635
9593,0.526
19334,1.52
4391,1.817
4383,2.0
657,2.18
18176,5.00001
19696,0.937
12072,0.905
8978,0.968
17673,3.356
6593,1.423
12373,1.375
11072,1.961
8498,3.58
8579,4.727
8423,1.726
16829,3.854
1661,1.985
13898,3.542
9098,2.183
12203,0.731
4115,1.464
8314,1.598
9365,1.131
17092,5.00001
18422,1.514
6526,5.00001
1150,0.652
18989,1.563
9775,3.391
1466,2.006
14621,1.319
4024,5.00001
4136,1.539
5125,0.897
8446,2.375
6643,2.811
7191,1.938
18960,2.008
3974,2.628
16761,3.599
241,1.37
14163,0.827
12953,1.105
8745,4.168
15027,1.193
2756,0.675
7539,0.983
9610,1.375
13228,1.599
10862,1.833
4319,5.00001
11188,2.18
12258,2.481
1359,0.985
13071,2.25
5966,1.148
19469,1.083
13621,1.407
539,2.208
593,2.27
1163,0.583
3657,1.706
8385,2.313
11060,1.868
10528,2.343
13291,1.164
10093,3.651
15644,4.5
9436,1.598
14960,1.241
1458,2.072
16360,1.413
14451,1.76
3876,1.937
6177,1.825
10683,4.55
19621,0.847
16626,2.756
18609,1.085
4003,4.573
2367,0.693
3069,1.014
15185,1.979
3453,3.194
12472,0.79
17663,2.581
2024,0.5
12290,4.033
4923,1.237
16578,1.639
882,2.54
20128,1.674
54,0.875
17110,2.479
9701,2.063
19238,0.902
3044,1.563
12429,1.088
11144,1.952
10183,1.875
13579,1.732
20205,5.00001
11308,3.182
3711,2.622
4977,1.885
11655,2.175
9443,1.274
6810,2.684
3563,2.451
12547,1.375
15940,3.212
1556,3.413
16463,0.906
18426,1.843
10883,3.113
20390,1.396
15279,1.96
12232,0.66
19421,1.938
5621,2.575
17588,2.357
13439,0.685
17174,2.431
11940,1.22
794,1.795
15905,2.441
10368,4.14
12211,1.375
17592,3.627
5774,1.813
5743,1.875
12391,1.239
8864,3.538
10288,2.362
11770,0.771
12670,0.67
6203,1.573
15320,1.594
7018,1.922
15001,1.966
3373,2.199
17735,2.555
13424,1.199
6314,5.00001
1880,1.261
1123,1.038
13721,1.484
3871,1.998
14154,0.885
1765,1.455
14062,1.418
2231,0.693
19176,1.951
12862,1.02
5130,0.936
8263,0.993
3706,2.675
2518,0.53
13940,1.5
13777,0.225
14875,1.339
18752,1.2
14378,2.953
11801,0.822
15615,4.429
18469,2.615
8055,2.008
12632,3.202
13793,0.724
1373,1.265
10237,2.359
7194,1.625
13146,1.193
8641,3.319
12183,0.58
9331,5.00001
18519,2.319
17384,1.775
7463,0.931
10075,4.0
18858,3.152
14246,2.914
5686,4.205
3837,3.797
1739,1.337
228,2.469
16433,1.621
9714,0.875
4046,5.00001
2229,1.26
13928,1.641
10994,2.512
13011,2.411
5548,1.631
19681,1.238
17512,3.131
11267,1.865
18648,0.875
6876,1.502
1784,2.75
3465,4.286
13887,1.861
19574,0.637
13801,0.669
3780,1.405
10042,2.247
11405,2.714
20307,2.353
786,1.895
19246,1.767
17807,2.876
2281,0.743
8339,1.494
14337,3.603
17940,3.689
1185,0.606
11684,1.875
18269,2.362
4122,1.739
2847,1.43
15140,2.861
8135,1.963
13213,1.112
13677,0.35
20178,2.75
5242,5.00001
20039,2.575
9851,1.752
3293,0.818
6952,1.592
12684,0.622
16326,1.03
8004,2.905
12096,1.326
1961,1.366
898,2.032
18219,2.264
18539,2.247
19905,1.153
4830,1.625
755,3.5
19794,0.743
13041,0.528
11395,1.348
76,1.021
11341,3.333
406,4.175
9303,3.103
5347,2.75
15243,2.959
18101,3.656
6027,2.587
19594,0.584
11697,2.094
2676,0.664
11824,1.239
6884,1.625
5862,1.555
6858,5.00001
17895,5.00001
7336,0.929
6763,1.875
5737,2.826
8764,3.833
17286,1.316
8681,4.178
17118,2.318
10439,5.00001
20063,2.066
17639,1.838
19048,3.5
12675,0.644
15150,2.458
16677,3.533
11409,1.825
12942,0.55
17992,4.316
20449,1.083
1798,1.563
2965,0.714
16614,2.365
12686,0.71
18282,1.848
3574,2.539
18352,4.0
4816,1.479
1454,2.041
11119,1.669
161,2.184
12222,0.61
7338,0.981
6188,1.673
14594,2.228
1313,1.786
8389,2.728
3500,2.259
4256,1.375
3409,1.475
2601,0.817
16268,1.563
16190,1.765
1752,1.508
17444,3.4
13914,1.987
18656,0.613
13516,0.593
4789,5.0
16915,3.619
21,1.598
15201,2.245
16039,3.189
11547,3.867
19066,2.759
18518,2.895
17449,2.352
17277,1.354
11903,1.639
11537,2.453
10813,1.75
6372,1.67
2392,0.515
3878,2.625
9241,3.719
19302,1.609
11495,2.289
9756,2.438
7829,2.842
8615,2.7
6180,2.102
16785,2.73
10615,1.808
18181,4.025
19841,0.985
16272,0.59
1937,1.674
11708,1.108
6275,1.763
762,1.666
16572,2.773
16768,5.00001
402,3.754
8490,2.472
2308,1.134
13711,1.162
9406,0.96
19754,1.213
18549,0.828
8905,3.443
780,1.736
17474,2.119
700,4.31
5340,3.273
1429,1.693
10167,2.708
7037,1.876
16871,3.109
16733,4.051
17771,2.122
3814,2.155
12789,1.079
4703,3.51
6448,1.592
16189,0.946
9117,2.829
16799,5.00001
16508,2.229
9829,1.362
7141,1.533
9787,1.563
5549,1.815
10912,4.872
7218,1.506
7210,1.632
15903,2.286
14150,0.918
9901,1.597
13528,0.855
17338,1.984
10452,2.26
13715,0.869
11743,1.515
18744,1.098
11810,1.293
5305,5.00001
7851,1.457
10797,2.333
16937,2.869
18164,3.974
17083,3.831
9103,2.363
5889,4.514
17323,2.768
1277,1.544
18110,5.00001
20018,0.55
11821,1.115
8575,5.00001
8202,1.938
3447,2.701
15290,0.986
10852,1.59
12813,3.267
13116,1.931
12851,1.432
17058,3.404
12753,0.788
12562,1.079
8791,5.00001
11287,2.304
9168,0.816
3552,4.835
15301,1.272
4303,2.2
19108,1.462
14100,1.135
9888,3.392
17299,1.726
15876,3.136
5324,4.613
13810,0.5
18146,5.00001
15093,2.318
13386,0.792
13220,0.883
19190,2.462
15074,2.822
13200,1.32
17657,2.691
18970,2.85
20349,2.232
8725,5.00001
15861,4.203
10966,2.15
14255,5.00001
6344,4.373
20118,1.862
9225,2.527
10225,3.579
929,2.917
706,2.168
6756,1.885
8567,5.00001
6699,2.572
17293,1.724
20343,0.731
18324,4.367
5690,2.571
1173,0.652
4169,1.688
20322,2.27
8926,2.704
6677,5.00001
327,0.8
4446,1.475
12821,1.577
3055,0.699
1797,1.121
19311,1.173
7777,1.44
321,0.858
19248,1.563
2335,0.687
4921,1.21
840,1.563
16707,2.841
4211,4.357
12977,1.135
11937,1.105
2624,0.668
3809,2.349
1618,3.899
3074,0.969
15465,1.0
9780,1.5
19619,0.792
10188,2.605
9089,2.537
11263,1.6
16528,3.316
136,3.689
11171,1.69
3562,4.075
10189,2.422
19153,2.675
12989,1.255
11463,3.047
9097,1.83
10250,3.531
16986,1.515
11825,1.108
13218,0.792
12546,0.995
4477,1.279
18005,3.227
10806,1.505
1483,2.982
6735,4.773
10965,2.11
20378,1.544
14725,1.114
16038,5.00001
19175,2.408
430,2.356
18338,2.985
16968,5.00001
1936,2.306
9211,2.016
9125,3.75
19688,0.649
3559,2.329
18289,2.41
5164,0.974
9175,0.596
1221,1.016
11556,3.159
19323,1.091
5440,3.038
2460,0.584
11032,2.23
12053,0.924
1306,1.459
1705,1.711
5837,2.495
8728,5.00001
3178,0.435
18706,0.629
11183,1.739
16608,2.667
8857,4.5
5227,5.00001
17424,2.258
9967,1.083
17580,2.413
7287,1.77
16225,1.0
8086,2.398
15139,2.209
5142,0.946
8392,2.44
6373,1.781
13207,1.598
13662,3.167
8461,2.269
20325,3.3
12138,0.945
16689,2.81
7779,1.458
5053,1.214
4212,4.107
15749,2.063
4787,1.906
16836,2.737
18938,2.045
17049,3.487
18713,0.933
12926,1.154
14754,1.297
12450,1.75
5942,1.818
12170,1.707
19168,1.17
2359,0.639
6797,2.538
12309,0.5
5435,3.483
10849,1.11
2711,0.536
1435,2.269
2416,0.558
521,3.33
5925,1.905
4823,1.168
4486,1.228
19655,0.674
18972,3.06
9312,5.00001
18714,1.116
8094,2.246
16898,3.748
11186,2.313
9959,1.211
5202,5.00001
7938,2.084
13348,0.963
1275,2.414
6236,1.81
13596,0.772
9209,2.879
7602,1.602
15482,3.003
5108,0.942
16949,2.984
13619,1.223
19850,0.762
14979,1.546
5503,4.563
17748,2.185
4778,1.932
16370,1.259
18606,1.416
9917,1.431
5492,4.22
1802,1.196
15622,5.00001
8072,2.322
15180,2.667
3905,2.238
16166,0.857
19537,1.123
14534,1.783
14302,1.938
14407,0.925
6193,1.607
7341,0.948
12978,1.358
13818,0.868
19564,1.063
17254,0.875
5677,4.574
11852,1.094
1170,0.576
1098,0.938
15463,1.899
3086,0.957
11273,2.114
6458,2.071
15681,3.864
7551,1.019
13369,0.968
6906,1.673
3439,1.555
9544,0.811
6288,2.652
15647,0.55
20409,0.589
8391,2.697
8640,3.141
19370,0.813
7246,1.417
20183,2.549
16119,0.527
3960,2.456
6555,1.731
8844,3.1
18907,3.333
877,1.772
7434,0.906
12498,0.968
18728,1.094
10552,2.339
16115,0.699
13089,1.36
9309,3.1
13174,1.158
5616,2.481
14195,0.829
3989,3.385
3142,0.945
3319,1.092
12622,1.894
7480,1.102
16504,1.95
5456,2.763
16393,1.976
12842,2.174
19913,1.707
7014,1.811
14648,1.227
12436,1.379
17921,3.461
20330,0.76
10008,1.984
8326,1.531
10954,5.00001
5714,2.554
7255,1.478
13897,5.00001
3030,0.658
3730,2.385
616,2.75
18668,0.666
3384,3.149
15868,3.336
17413,1.693
18118,5.00001
20416,0.685
8006,3.717
10606,1.823
9252,2.0
2048,0.653
18951,0.75
3335,0.859
7236,1.482
18389,3.267
5479,3.407
2985,1.029
15938,2.978
5338,3.194
3038,0.59
17975,3.606
6615,2.693
12513,1.569
5791,1.924
13432,0.861
12640,1.595
8476,2.15
13729,0.854
19683,0.696
15258,2.083
7356,1.509
1687,2.403
8988,0.938
2643,1.356
1207,0.821
368,1.429
19211,2.083
15451,1.715
19926,0.682
19301,1.496
19838,0.539
16265,1.813
15281,0.97
7675,2.073
8482,2.327
17428,1.984
19054,1.672
19822,0.678
13196,1.067
18217,2.933
7015,1.798
14916,2.414
14740,1.5
15968,2.742
7231,1.25
18304,2.595
4215,4.302
17647,2.862
10821,1.175
13076,2.549
12115,4.933
5285,4.947
15728,2.909
19583,0.632
11414,3.464
12194,0.683
7029,1.748
20044,2.291
19944,0.994
11023,2.25
3428,1.452
14068,1.043
8511,5.00001
4439,1.621
19380,0.588
11399,5.00001
2246,0.662
15939,3.191
14218,2.25
10096,1.587
18945,1.891
12882,1.171
8944,5.00001
3511,3.482
6070,1.326
10470,1.375
13377,1.32
11689,1.426
10815,1.346
3987,2.96
1369,1.961
17756,2.645
870,2.735
12324,0.847
12971,0.956
5789,2.846
1302,1.0
4917,1.169
9284,5.00001
19804,0.821
5239,5.00001
14095,1.569
2440,0.702
7462,0.928
1500,1.971
11333,2.861
17130,5.0
16839,2.718
961,2.573
16288,1.563
6781,2.457
2324,1.137
19065,2.402
11214,1.759
13419,0.871
15454,2.098
16671,2.324
13195,1.117
276,2.081
9862,1.302
7994,1.519
20180,1.625
7114,1.426
8059,1.306
19021,2.084
3299,0.934
7062,2.117
20006,5.00001
5008,1.185
19402,1.029
15855,3.3
9663,2.272
5298,3.363
19674,0.928
12119,2.123
8306,1.378
1829,3.114
17213,2.017
4852,0.962
9380,0.559
8325,1.958
12617,4.464
6146,1.813
10647,5.00001
1801,1.291
13470,0.795
15086,2.387
8434,2.089
5372,3.543
17430,2.464
2760,0.475
11752,1.02
865,2.312
16032,3.229
18121,5.00001
4488,1.472
6110,1.731
4030,5.00001
254,1.024
7932,2.126
12393,2.0
15966,2.832
4872,0.996
6335,2.865
17943,4.163
19103,1.792
8045,1.431
17695,2.645
17025,5.00001
5097,0.982
9369,0.875
3385,3.544
17990,4.165
14614,1.64
6140,1.804
4756,1.182
625,2.055
19096,2.486
5070,1.335
7579,2.182
20326,3.439
3638,1.932
2449,0.579
10039,2.679
9816,1.546
2544,0.69
11900,1.531
16866,2.942
10152,1.489
11352,2.431
5567,1.72
10851,1.517
19105,1.403
16896,3.955
16160,0.592
561,2.4
12588,1.795
17988,3.881
10601,5.00001
20,1.475
17093,4.638
12249,3.219
13477,0.661
18725,1.625
7977,2.241
5355,4.273
16900,5.00001
450,2.688
1219,1.306
15152,1.224
9447,1.256
15544,5.00001
9598,0.825
2687,0.623
4951,1.291
7746,1.715
2765,0.25
1824,2.091
7059,1.982
14519,1.663
13650,2.306
9906,0.984
6651,2.179
15162,2.455
11640,1.43
7568,1.966
11137,2.548
2284,0.694
1092,1.392
9709,1.0
19998,2.25
18255,2.24
8599,4.327
10535,3.025
15650,2.75
20376,1.525
7507,1.073
5063,1.242
2598,0.755
11285,1.521
11997,2.952
4161,2.209
6248,2.262
3506,2.521
16021,3.114
4774,1.302
11691,2.173
10850,1.731
18721,0.948
7471,0.889
1652,2.88
12945,1.361
8960,5.00001
7890,1.67
11223,2.228
1628,4.75
20282,2.581
951,2.711
116,2.185
5422,4.25
5957,2.148
14574,1.781
10328,4.833
7877,2.269
6209,1.586
17087,2.806
7585,1.911
4558,2.25
15241,3.144
1230,0.848
3250,0.711
3312,0.908
2556,0.996
11716,1.64
17408,2.136
15019,1.544
6610,1.25
15660,2.25
4770,1.409
17462,2.833
19055,1.854
16181,1.028
16562,1.782
19506,0.718
1049,1.099
5674,2.413
12354,0.584
11400,2.488
505,1.325
5950,1.178
18708,2.148
19729,0.669
666,1.846
2314,0.728
17844,2.832
17933,3.808
16490,2.273
6243,1.921
12574,0.92
19109,1.643
3341,1.057
5879,2.487
16374,1.39
5807,2.471
13692,1.08
1259,1.891
1994,0.518
17951,3.459
18488,2.158
12589,3.87
12151,1.051
17871,3.719
10393,5.00001
6079,1.375
4568,1.125
17513,2.819
6680,5.00001
4783,1.237
14902,1.852
8362,2.397
18466,3.22
17699,2.611
16264,1.531
18950,2.023
13332,1.274
8839,3.5
3812,2.455
13880,0.705
4288,3.467
14152,0.865
16052,0.45
7443,1.046
7476,0.847
20371,0.958
19080,3.415
10785,2.054
12489,0.591
4762,1.233
2325,1.2
17746,2.356
414,2.709
11785,1.016
6233,1.595
13428,1.15
8952,3.185
905,2.279
11981,1.381
234,1.405
2177,0.578
18978,2.48
4456,1.375
4199,2.667
3490,2.086
17287,0.875
7486,1.056
19685,0.48
20000,5.00001
13303,0.906
8454,2.206
9347,5.00001
8647,3.344
19540,1.249
14684,1.478
19237,0.919
13409,1.115
8104,2.23
12020,1.633
10756,4.147
3280,0.6
8302,1.434
5628,4.098
12383,0.775
14011,1.281
2133,0.723
9802,1.618
16507,3.288
10659,5.00001
13645,1.172
3016,0.969
17817,2.883
3360,2.576
17365,2.392
1036,1.213
11262,1.428
8056,1.418
19320,1.006
11884,1.164
18694,0.462
5660,3.266
306,0.914
4491,1.65
255,0.987
17780,2.799
6601,5.00001
15199,2.161
8299,1.435
12465,0.924
879,2.697
5122,1.013
19949,2.625
9181,0.965
2925,0.534
15436,2.875
10581,3.839
15774,2.508
6596,2.0
15391,1.804
7335,1.006
1686,2.464
1650,3.667
20381,1.089
13231,0.997
10162,2.773
16044,2.071
18597,0.847
1615,3.699
13885,0.447
16791,2.563
4065,3.417
5265,5.00001
3063,0.825
18942,1.565
6033,1.896
6860,2.824
7792,1.908
13552,1.237
10468,3.371
19920,1.325
8761,2.833
19288,1.104
17808,2.943
8980,1.875
13296,1.161
1278,2.539
2554,0.864
2019,0.585
10593,5.00001
14059,1.398
19691,0.684
1897,1.177
11426,4.616
15790,2.755
2151,0.696
1749,1.408
8626,2.781
18575,1.367
2216,1.935
20185,2.994
2698,1.125
6235,1.645
17602,1.636
9736,4.171
5768,2.219
12316,0.685
4927,1.362
2234,0.722
12781,1.207
4683,3.625
5860,1.646
16506,3.0
16493,1.832
13562,0.821
5415,2.635
18344,1.601
1379,2.042
15447,2.391
12199,0.718
1957,1.517
19665,0.532
3751,3.597
8959,5.00001
7447,1.1
11332,2.529
16940,3.208
3781,2.265
5797,2.227
12462,1.08
16176,1.551
13093,1.284
4954,1.225
123,3.895
14515,2.0
19458,1.155
6332,3.507
8009,2.522
18399,2.161
20097,5.00001
2203,2.139
10744,2.446
18090,2.613
9193,0.652
13006,1.544
3845,3.148
2720,0.762
14845,1.538
18116,5.00001
13761,1.234
4473,1.219
975,2.313
7499,1.324
4658,4.056
14948,1.897
15807,2.762
18741,1.269
16825,3.617
2908,0.768
14450,1.821
4262,2.033
6501,5.00001
1998,0.526
9314,4.411
7198,1.375
12525,1.745
12422,0.958
4857,1.008
19921,1.071
19495,1.5
8781,5.00001
3855,2.159
2175,0.708
12442,1.23
15012,1.45
20388,1.399
10951,5.00001
80,1.625
1006,1.834
1486,2.205
6069,1.385
5694,3.804
10727,1.929
16409,1.61
13257,2.75
20109,1.724
13915,2.042
12986,1.188
16060,1.051
4808,1.688
4226,4.364
10722,5.00001
2530,0.854
18476,4.023
20448,0.924
3027,0.786
5467,2.15
15700,4.375
15009,1.725
14787,1.082
9410,0.84
7816,1.982
12136,0.894
15105,4.113
969,3.004
4690,2.961
5894,1.667
6071,1.455
10638,3.875
122,3.736
13077,1.878
4689,2.75
15677,4.054
8196,1.594
13028,1.212
9270,2.752
12698,0.814
1472,1.609
19765,1.042
15379,2.996
13673,1.135
1740,1.828
11783,1.238
12343,0.535
13025,0.883
10457,3.977
11549,2.134
648,2.189
2963,1.007
8643,3.509
4760,1.569
19748,0.838
16286,1.625
13008,0.944
4559,1.875
18281,2.912
13625,1.346
8406,1.811
4112,2.32
14023,1.153
510,5.00001
8373,2.463
2731,0.736
18932,2.028
14021,1.191
20396,0.984
18371,3.209
1349,1.431
956,3.23
6806,3.411
12261,1.252
4861,1.075
14963,1.589
15866,3.817
8853,2.5
13217,0.905
6711,1.975
9800,1.312
15824,2.436
14104,1.504
19638,1.433
9770,2.603
19851,0.646
4145,2.417
1927,1.633
8458,2.273
9671,1.528
20389,1.334
5172,0.906
6230,1.441
5937,2.395
1646,3.07
9154,0.588
5263,5.00001
5026,1.0
8457,2.246
482,2.188
10706,2.364
13980,0.964
20028,2.232
18760,1.711
11846,1.185
16774,5.00001
12050,1.101
582,2.747
7936,2.162
10078,3.496
9330,5.00001
19598,0.772
8250,4.5
11027,1.39
7288,1.438
12907,1.627
13591,0.723
11589,1.78
5723,2.568
19987,1.612
6623,1.841
2480,0.583
17660,3.516
2678,1.0
18504,2.286
19617,0.66
1137,1.683
13611,0.753
9196,0.483
12556,0.656
11292,3.724
75,1.775
1585,3.513
740,1.847
7554,1.098
12786,1.057
7413,1.625
2503,0.696
15291,1.775
13608,0.847
9864,2.693
3104,0.98
13427,1.222
9100,2.377
5111,0.906
18075,2.667
16586,2.256
10311,3.48
4828,1.75
4382,2.417
6363,4.374
13776,0.647
11320,2.845
2236,1.433
12079,0.83
3420,1.24
5088,1.403
10728,1.887
8897,4.857
8634,2.613
262,1.291
15042,1.689
5982,1.61
7239,1.5
10888,2.157
11688,1.365
4755,1.142
7838,2.656
15907,2.379
19262,1.955
19012,1.681
853,2.375
4563,2.75
9541,0.604
7510,1.136
17249,1.042
8254,2.875
982,2.932
2423,0.731
59,0.6
12067,1.554
2646,0.543
9096,2.385
9896,2.476
11441,0.613
17471,2.4
19490,0.973
6449,1.628
5057,1.0
20454,1.168
14128,0.956
15809,2.362
9629,1.375
18902,3.084
1120,1.086
9244,3.375
5151,0.949
5175,0.998
9947,1.52
14897,1.744
1855,0.711
2988,0.748
2679,1.463
4580,1.417
13160,1.06
979,2.294
8042,1.375
4971,1.234
16624,2.603
13709,1.709
5193,0.9
12032,1.272
9546,0.723
18849,1.306
8450,2.121
1889,1.008
1459,1.841
8069,2.228
7137,1.505
9833,1.945
18959,2.238
4704,3.341
15775,2.713
15368,2.589
1562,4.347
19000,1.775
1605,2.524
19916,1.37
3704,3.355
18820,0.929
12214,1.153
19296,1.385
4048,5.00001
734,1.981
12073,1.125
7819,2.408
6840,2.726
7032,1.739
7901,1.671
6469,1.563
941,1.833
19305,1.637
11954,0.962
5291,3.938
12893,1.356
17610,1.629
5715,2.926
3430,2.356
9636,1.475
10546,3.047
3498,2.233
2582,0.788
693,1.704
4803,1.364
13384,0.964
13046,2.659
15324,2.39
3202,1.208
18191,4.763
4855,1.195
8295,1.571
7377,1.561
20300,2.258
17288,1.466
18280,3.118
5286,1.813
5510,1.875
8987,1.3
17050,3.95
17726,2.307
6232,1.624
9985,1.574
9710,1.35
20319,2.441
1681,1.848
2970,0.394
1419,1.375
18169,5.00001
16232,1.016
14888,1.489
7687,2.205
3839,3.375
16616,2.321
17968,2.445
13368,1.227
18246,2.993
8912,3.05
20223,2.517
3255,1.003
4036,4.784
16108,0.813
20369,1.222
11353,2.647
