,Unnamed: 0.1,Unnamed: 0,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedInc
13116,13116,13220,15.0,6.44,0.93,2711.0,3.56,34.0,-117.7,5.7021
12851,12851,12953,15.0,5.62,1.01,2868.0,2.77,38.7,-121.28,3.7813
17058,17058,17203,35.0,4.28,1.04,1383.0,2.19,34.43,-119.73,4.5278
12753,12753,12855,36.0,5.07,0.97,771.0,2.89,38.67,-121.37,2.2723
12562,12562,12663,15.0,5.83,1.14,5656.0,3.23,38.49,-121.46,2.575
8791,8791,8856,33.0,4.57,1.11,2243.0,1.94,34.07,-118.39,4.2386
11287,11287,11378,26.0,5.43,1.01,817.0,3.13,33.69,-117.95,4.875
9168,9168,9235,9.0,5.45,1.01,1057.0,3.58,37.02,-120.09,3.7143
3552,3552,3572,31.0,8.06,1.01,1986.0,3.02,34.24,-118.51,8.6454
15301,15301,15427,9.0,4.29,1.08,1992.0,4.4,33.21,-117.25,2.066
4303,4303,4332,23.0,3.21,1.16,1264.0,2.81,34.08,-118.31,2.7543
19108,19108,19265,28.0,4.51,1.01,652.0,2.74,38.44,-122.73,2.4
14100,14100,14214,41.0,5.21,1.01,1664.0,3.25,32.68,-117.06,2.375
9888,9888,9961,34.0,7.67,1.18,780.0,2.92,38.33,-122.26,5.815
17299,17299,17445,4.0,5.65,0.99,915.0,2.72,34.66,-120.48,4.1563
15876,15876,16008,43.0,5.94,1.1,1488.0,2.39,37.73,-122.44,5.5622
5324,5324,5366,44.0,6.62,1.01,635.0,2.24,34.04,-118.39,5.5951
13810,13810,13922,20.0,6.03,1.64,119.0,2.05,34.55,-114.94,1.625
18146,18146,18298,32.0,7.32,0.99,1583.0,3.3,37.4,-122.12,10.3894
15093,15093,15216,11.0,5.99,1.05,2223.0,2.84,32.95,-117.11,4.9485
13386,13386,13495,28.0,5.59,1.09,1480.0,4.34,34.17,-117.35,2.9844
13220,13220,13325,39.0,3.99,1.02,1294.0,4.27,34.06,-117.63,2.3636
19190,19190,19349,33.0,6.92,1.11,394.0,2.98,38.67,-123.01,4.6875
15074,15074,15197,16.0,7.43,0.99,827.0,3.06,32.91,-117.09,7.0546
13200,13200,13305,26.0,5.78,1.05,2259.0,3.99,34.09,-117.62,4.0139
17657,17657,17806,16.0,6.21,1.0,1863.0,3.54,37.38,-121.87,5.5429
18970,18970,19126,32.0,6.1,1.13,1066.0,2.78,38.27,-122.69,4.0313
20349,20349,20528,11.0,5.68,1.0,2258.0,2.51,38.55,-121.8,4.7168
8725,8725,8790,34.0,7.01,0.98,966.0,2.58,33.8,-118.36,10.1241
15861,15861,15993,34.0,6.31,1.09,1152.0,2.59,37.76,-122.47,5.1893
10966,10966,11054,25.0,4.16,1.04,1710.0,2.7,33.78,-117.86,3.125
14255,14255,14371,32.0,6.86,1.15,1277.0,2.1,32.71,-117.24,6.6661
6344,6344,6394,42.0,6.84,1.05,1179.0,3.28,34.14,-118.06,7.0315
20118,20118,20293,30.0,5.25,0.94,1496.0,3.83,34.16,-119.18,3.6546
9225,9225,9292,36.0,5.63,1.04,2196.0,2.74,38.01,-122.45,4.3182
10225,10225,10302,25.0,8.02,0.98,1278.0,3.29,33.89,-117.8,7.0217
929,929,930,23.0,6.16,1.03,1446.0,2.81,37.55,-122.04,4.4357
706,706,707,23.0,5.81,0.99,3827.0,2.96,37.68,-122.05,5.1701
6756,6756,6806,36.0,4.27,0.98,949.0,3.8,34.09,-118.09,2.3462
8567,8567,8631,36.0,6.12,0.98,1278.0,2.59,33.88,-118.4,7.2651
6699,6699,6749,42.0,5.02,1.0,1494.0,2.86,34.11,-118.08,3.9464
17293,17293,17439,32.0,5.53,0.93,828.0,2.49,34.63,-120.45,4.5486
20343,20343,20522,36.0,4.96,0.9,969.0,2.88,38.54,-121.54,3.0536
18324,18324,18476,19.0,6.2,1.0,2198.0,3.6,37.11,-121.66,5.1514
5690,5690,5735,26.0,3.41,1.08,1332.0,2.76,34.15,-118.23,3.1004
1173,1173,1174,23.0,4.8,1.12,640.0,2.21,39.53,-121.65,1.4833
4169,4169,4198,29.0,3.8,1.17,3320.0,4.34,34.12,-118.24,2.6111
20322,20322,20500,27.0,6.76,0.97,756.0,3.35,34.3,-118.7,6.1825
8926,8926,8992,46.0,6.75,1.0,1389.0,2.76,34.0,-118.35,5.3462
6677,6677,6727,52.0,10.42,1.14,956.0,3.43,34.12,-118.12,15.0001
327,327,327,42.0,4.59,1.09,646.0,3.26,37.73,-122.18,2.9063
4446,4446,4476,33.0,3.73,1.01,936.0,4.11,34.08,-118.17,3.375
12821,12821,12923,23.0,5.8,1.1,1210.0,2.67,38.65,-121.32,3.0952
3055,3055,3071,35.0,4.65,0.93,1371.0,3.31,35.78,-119.25,2.2981
1797,1797,1807,45.0,4.85,1.06,1304.0,2.84,37.93,-122.34,2.64
19311,19311,19474,16.0,5.53,0.92,1292.0,4.77,37.67,-120.97,4.3851
7777,7777,7837,6.0,4.84,1.19,2467.0,3.46,33.91,-118.16,3.1507
321,321,321,26.0,4.27,0.98,984.0,3.25,37.76,-122.19,1.9479
19248,19248,19409,24.0,4.71,1.0,270.0,2.41,37.7,-120.92,1.6172
2335,2335,2348,31.0,6.16,1.1,1306.0,3.12,36.8,-119.69,3.2813
4921,4921,4955,48.0,5.11,1.07,1357.0,2.72,34.01,-118.31,2.5263
840,840,841,16.0,5.12,1.03,1367.0,3.85,37.59,-122.08,4.235
16707,16707,16846,49.0,5.65,1.17,636.0,2.46,37.62,-122.41,4.25
4211,4211,4240,33.0,3.97,1.12,2404.0,1.86,34.11,-118.32,3.2462
12977,12977,13081,19.0,5.67,1.05,3012.0,2.71,38.56,-121.37,2.9464
11937,11937,12032,33.0,3.91,0.89,724.0,3.08,33.93,-117.47,3.4028
2624,2624,2638,22.0,4.36,1.06,826.0,2.16,40.59,-124.14,1.5625
3809,3809,3832,36.0,4.87,1.12,1544.0,2.79,34.2,-118.44,2.7375
1618,1618,1623,27.0,7.21,1.01,3371.0,2.66,37.85,-122.14,7.3267
3074,3074,3090,15.0,5.9,1.26,2310.0,2.31,35.63,-118.41,2.3125
15465,15465,15592,19.0,9.68,1.98,327.0,1.77,33.28,-116.32,3.3625
9780,9780,9853,18.0,3.63,1.26,1042.0,1.4,36.59,-121.89,3.1364
19619,19619,19791,15.0,5.95,1.54,287.0,2.76,40.79,-123.48,1.9107
10188,10188,10264,20.0,6.19,1.0,1997.0,3.07,33.9,-117.85,5.5918
9089,9089,9156,15.0,6.9,1.02,3733.0,3.03,34.43,-118.51,6.1082
11263,11263,11354,8.0,3.48,1.01,3842.0,5.7,33.75,-117.91,3.0635
16528,16528,16666,9.0,6.45,1.06,1149.0,2.89,35.27,-120.71,5.4287
136,136,136,29.0,6.66,1.01,661.0,2.46,37.83,-122.19,6.8538
11171,11171,11261,33.0,6.55,1.03,1384.0,4.39,33.79,-117.99,4.5263
3562,3562,3582,21.0,5.66,1.06,2230.0,2.19,34.24,-118.55,4.3458
10189,10189,10265,25.0,5.89,0.97,811.0,3.08,33.9,-117.85,5.2037
19153,19153,19311,16.0,6.0,1.1,931.0,2.77,38.38,-122.89,5.7664
12989,12989,13093,21.0,6.17,0.98,1287.0,2.92,38.55,-121.37,4.5815
11463,11463,11555,16.0,5.62,1.1,2341.0,2.84,33.74,-117.98,4.4261
9097,9097,9164,25.0,6.34,1.03,1763.0,3.47,34.42,-118.47,5.2887
10250,10250,10327,13.0,7.58,1.16,2061.0,2.89,33.85,-117.77,7.3681
16986,16986,17130,38.0,4.94,0.95,1331.0,4.21,37.47,-122.15,3.0521
11825,11825,11919,32.0,5.33,1.06,2494.0,3.13,33.95,-117.42,2.8173
13218,13218,13323,43.0,3.85,1.11,851.0,4.3,34.06,-117.64,1.7292
12546,12546,12647,25.0,4.84,1.06,1559.0,2.49,38.5,-121.45,2.7101
4477,4477,4507,43.0,3.77,1.03,1084.0,4.19,34.05,-118.19,2.7708
18005,18005,18157,32.0,4.32,0.99,1160.0,2.0,37.37,-122.06,4.9087
10806,10806,10890,31.0,4.31,1.03,1369.0,5.29,33.73,-117.86,3.5694
1483,1483,1485,8.0,7.54,1.05,1555.0,3.03,37.95,-122.01,6.0901
6735,6735,6785,25.0,6.82,0.99,1922.0,2.95,34.1,-118.17,8.058
10965,10965,11052,52.0,4.73,1.04,1197.0,2.88,33.79,-117.85,3.8929
20378,20378,20558,10.0,5.52,1.01,1073.0,2.84,38.67,-121.8,4.5526
14725,14725,14843,36.0,5.86,1.06,1001.0,3.74,32.69,-117.08,3.6875
16038,16038,16171,52.0,8.0,1.0,13.0,13.0,37.79,-122.5,15.0001
19175,19175,19333,4.0,6.75,1.05,2936.0,2.81,38.58,-122.72,5.0555
430,430,430,52.0,5.38,0.99,489.0,2.24,37.88,-122.28,3.9167
18338,18338,18490,5.0,6.68,1.03,3071.0,3.14,37.03,-121.61,5.6754
16968,16968,17112,40.0,8.11,1.07,985.0,2.7,37.47,-122.2,9.9025
1936,1936,1946,11.0,6.52,1.03,2645.0,3.16,38.73,-120.91,4.835
9211,9211,9278,19.0,5.21,0.98,873.0,2.6,38.11,-122.6,3.8068
9125,9125,9192,34.0,7.4,1.46,275.0,4.04,34.36,-118.29,4.5491
19688,19688,19860,24.0,4.52,1.01,1520.0,3.71,36.35,-119.3,2.3304
3559,3559,3579,35.0,5.96,1.05,1690.0,2.94,34.23,-118.54,4.375
18289,18289,18441,20.0,6.23,0.96,1944.0,3.3,37.24,-121.82,6.0538
5164,5164,5203,42.0,4.42,1.07,1503.0,3.5,33.93,-118.28,2.5179
9175,9175,9242,12.0,4.51,0.95,1399.0,3.52,36.98,-120.07,2.5388
1221,1221,1222,32.0,5.46,1.1,1061.0,2.16,38.24,-120.72,2.5473
11556,11556,11650,23.0,6.55,0.98,1646.0,3.44,33.85,-118.04,5.777
19323,19323,19486,33.0,4.75,0.99,824.0,2.73,37.67,-120.98,2.7621
5440,5440,5482,41.0,3.3,1.06,562.0,2.1,33.99,-118.46,3.1992
2460,2460,2473,34.0,4.5,0.96,683.0,2.62,36.43,-119.86,1.7176
11032,11032,11122,45.0,5.36,1.05,1549.0,4.11,33.84,-117.92,4.6111
12053,12053,12149,23.0,5.63,1.06,1984.0,1.77,33.7,-117.2,2.3276
1306,1306,1307,23.0,7.06,1.06,935.0,3.35,37.99,-121.83,4.4853
1705,1705,1713,26.0,6.16,0.99,1495.0,3.01,38.01,-122.32,4.6944
5837,5837,5883,52.0,5.1,0.95,545.0,2.45,34.17,-118.34,4.875
8728,8728,8793,30.0,7.99,1.02,1582.0,2.87,33.79,-118.39,10.898
3178,3178,3194,40.0,6.3,1.3,586.0,3.13,36.32,-119.7,2.6477
18706,18706,18859,52.0,5.69,1.17,1728.0,2.45,41.32,-122.09,2.2462
11183,11183,11274,19.0,4.64,1.07,3554.0,2.23,33.78,-117.99,3.1049
16608,16608,16747,35.0,4.79,0.93,1577.0,3.81,37.69,-122.46,4.0833
8857,8857,8922,28.0,2.57,1.07,716.0,1.32,34.02,-118.49,1.5132
5227,5227,5266,41.0,6.12,0.99,617.0,2.55,34.04,-118.55,8.8619
17424,17424,17570,46.0,5.47,1.05,1163.0,2.6,37.32,-121.94,4.8519
9967,9967,10040,48.0,5.03,1.11,716.0,2.05,39.2,-121.05,2.3125
17580,17580,17729,20.0,7.06,1.05,1669.0,3.88,37.32,-121.79,6.2742
7287,7287,7342,31.0,4.12,0.95,1175.0,4.17,33.97,-118.14,3.0114
16225,16225,16360,23.0,3.64,1.09,3785.0,3.71,38.0,-121.3,1.7774
8086,8086,8149,36.0,5.6,0.99,1042.0,2.63,33.82,-118.09,5.2299
15139,15139,15262,19.0,5.66,0.97,1356.0,2.65,33.03,-117.27,4.87
5142,5142,5180,44.0,4.7,1.04,999.0,3.17,33.95,-118.26,1.5147
8392,8392,8456,29.0,5.11,1.11,1236.0,2.56,33.91,-118.35,4.8409
6373,6373,6423,31.0,3.05,1.01,1131.0,2.66,34.14,-118.0,1.0548
13207,13207,13312,15.0,6.01,1.02,1432.0,3.19,34.08,-117.6,4.9063
13662,13662,13773,6.0,8.36,1.14,957.0,3.49,34.05,-116.98,7.2708
8461,8461,8525,39.0,5.27,1.01,982.0,2.75,33.89,-118.33,4.1953
20325,20325,20503,27.0,6.94,1.1,243.0,3.16,34.33,-118.75,8.2787
12138,12138,12235,21.0,6.0,1.06,2233.0,2.92,33.73,-116.95,3.2371
16689,16689,16828,7.0,4.44,0.78,50.0,1.85,37.64,-122.48,12.5
7779,7779,7839,42.0,4.39,0.86,748.0,3.84,33.91,-118.17,3.8
5053,5053,5088,19.0,3.19,1.13,726.0,2.62,33.98,-118.28,0.9809
4212,4212,4241,48.0,3.2,1.13,2796.0,2.0,34.11,-118.32,2.3974
15749,15749,15881,9.0,4.2,1.1,1176.0,3.86,37.75,-122.41,2.6538
4787,4787,4821,38.0,4.25,1.17,1768.0,4.03,34.05,-118.31,1.9336
16836,16836,16976,37.0,4.34,0.92,979.0,2.96,37.57,-122.31,4.0
18938,18938,19094,16.0,6.16,0.91,741.0,3.24,38.24,-122.6,4.725
17049,17049,17194,24.0,7.23,1.14,1076.0,2.83,34.45,-119.79,5.8635
18713,18713,18866,38.0,4.5,0.87,566.0,2.73,38.1,-122.22,3.0221
12926,12926,13030,26.0,5.17,0.96,773.0,2.59,38.67,-121.2,2.9803
14754,14754,14873,37.0,4.52,1.0,1344.0,3.15,32.62,-117.09,2.4866
12450,12450,12550,52.0,5.69,1.04,675.0,2.28,38.55,-121.48,4.1467
5942,5942,5988,32.0,4.0,1.1,1592.0,1.97,34.1,-117.72,2.4952
12170,12170,12268,13.0,6.24,1.06,978.0,2.35,33.73,-116.86,2.933
19168,19168,19326,46.0,6.23,1.34,807.0,2.2,38.5,-122.94,2.6316
2359,2359,2372,31.0,4.82,1.07,1371.0,3.95,36.7,-119.55,2.3687
6797,6797,6849,37.0,5.63,1.08,706.0,2.97,34.06,-118.14,4.7569
12309,12309,12409,33.0,3.43,1.12,375.0,4.63,33.75,-116.25,2.025
5435,5435,5477,46.0,5.32,1.08,896.0,2.68,34.0,-118.45,4.45
10849,10849,10934,24.0,3.22,1.05,5516.0,6.05,33.74,-117.9,2.7535
2711,2711,2725,22.0,4.01,1.15,692.0,4.91,32.79,-115.55,1.2083
1435,1435,1437,32.0,5.86,0.98,436.0,2.52,37.98,-122.0,5.1118
2416,2416,2429,33.0,3.62,1.05,730.0,4.51,36.61,-119.53,1.5625
521,521,522,52.0,8.12,1.09,378.0,2.33,37.76,-122.23,5.2915
5925,5925,5971,26.0,4.91,1.01,1024.0,3.02,34.1,-117.79,3.5192
4823,4823,4857,49.0,5.1,1.16,1522.0,3.66,34.02,-118.3,1.85
4486,4486,4516,52.0,3.94,1.02,1849.0,4.16,34.03,-118.2,2.3716
19655,19655,19827,19.0,5.08,1.06,2202.0,3.73,36.55,-119.4,2.5141
18972,18972,19128,29.0,5.77,1.05,650.0,2.85,38.25,-122.68,3.8269
9312,9312,9381,36.0,7.68,1.06,1315.0,2.26,37.87,-122.47,11.5706
18714,18714,18867,40.0,5.16,0.97,1275.0,2.58,38.1,-122.22,2.9469
8094,8094,8157,36.0,5.79,1.03,1155.0,2.61,33.81,-118.12,4.6087
16898,16898,17040,44.0,6.26,1.01,2818.0,2.53,37.5,-122.26,5.6271
11186,11186,11277,33.0,5.13,1.09,1119.0,2.89,33.8,-117.96,3.4821
9959,9959,10032,52.0,5.59,1.14,928.0,2.13,39.22,-121.07,2.425
5202,5202,5241,29.0,6.72,1.05,2184.0,2.28,34.12,-118.39,8.2816
7938,7938,8000,36.0,5.24,1.03,1128.0,2.8,33.85,-118.13,4.6019
13348,13348,13457,36.0,5.44,0.96,894.0,3.25,34.11,-117.38,3.3066
1275,1275,1276,13.0,7.08,1.13,1075.0,3.07,37.91,-121.6,5.1017
6236,6236,6285,23.0,5.74,1.05,4580.0,4.13,34.04,-117.93,4.9342
13596,13596,13705,30.0,4.8,1.14,1390.0,2.66,34.12,-117.22,2.3725
9209,9209,9276,25.0,6.68,0.98,3445.0,2.95,38.12,-122.59,6.0132
7602,7602,7661,42.0,4.18,0.91,1018.0,3.1,33.83,-118.22,4.4474
15482,15482,15609,8.0,8.05,1.09,2048.0,3.56,32.73,-116.91,6.4745
5108,5108,5144,47.0,4.2,1.04,1168.0,3.26,33.97,-118.26,1.4625
16949,16949,17093,38.0,4.07,1.03,879.0,2.27,37.48,-122.23,2.7969
13619,13619,13728,29.0,5.08,1.08,1323.0,1.96,34.05,-117.18,2.4943
19850,19850,20023,11.0,5.85,0.99,1285.0,3.32,36.07,-119.07,3.2042
14979,14979,15102,20.0,5.19,1.03,3687.0,2.86,32.83,-116.99,3.1979
5503,5503,5545,37.0,5.64,1.02,494.0,2.04,33.97,-118.4,4.6364
17748,17748,17898,48.0,4.58,1.1,946.0,2.09,37.34,-121.93,3.0375
4778,4778,4812,44.0,5.16,1.21,981.0,2.6,34.02,-118.37,2.6154
16370,16370,16506,40.0,4.79,0.94,667.0,2.84,37.73,-121.13,3.3158
18606,18606,18759,11.0,5.98,1.06,1686.0,2.75,40.65,-122.31,2.9338
9917,9917,9990,17.0,6.28,1.15,892.0,2.98,39.09,-121.07,2.8864
5492,5492,5534,38.0,6.77,1.33,415.0,2.55,33.96,-118.43,6.1985
1802,1802,1812,34.0,4.81,1.17,1341.0,2.42,37.91,-122.32,2.6399
15622,15622,15752,52.0,4.47,1.04,1518.0,1.95,37.77,-122.44,3.6186
8072,8072,8135,44.0,5.7,0.99,815.0,2.87,33.82,-118.13,5.5449
15180,15180,15304,19.0,4.9,1.29,855.0,2.17,33.18,-117.37,2.6979
3905,3905,3929,31.0,5.16,1.03,990.0,2.75,34.19,-118.55,4.3654
16166,16166,16300,28.0,5.96,1.3,315.0,3.18,37.92,-121.23,1.8958
19537,19537,19708,22.0,5.62,0.97,1056.0,2.62,39.14,-121.67,3.6111
14534,14534,14651,34.0,5.78,1.13,900.0,3.19,32.81,-117.15,3.1458
14302,14302,14418,18.0,6.15,2.13,508.0,1.8,32.79,-117.24,3.2625
14407,14407,14523,14.0,3.88,1.12,1929.0,2.3,32.9,-117.12,2.8588
6193,6193,6242,36.0,6.01,1.02,1967.0,4.94,34.06,-117.98,4.0274
7341,7341,7396,39.0,2.47,0.99,686.0,4.18,33.96,-118.23,1.695
12978,12978,13082,16.0,4.56,1.05,1762.0,2.06,38.57,-121.37,2.6635
13818,13818,13930,10.0,5.2,1.19,1152.0,2.4,34.83,-114.64,1.7062
19564,19564,19736,14.0,22.82,6.35,35.0,2.06,40.12,-121.78,6.1359
17254,17254,17400,15.0,3.43,0.96,1133.0,4.48,34.93,-120.44,2.0995
5677,5677,5722,43.0,6.19,1.01,768.0,2.78,34.18,-118.23,6.207
11852,11852,11946,31.0,5.01,1.03,686.0,2.7,33.93,-117.43,2.4922
1170,1170,1171,29.0,5.78,1.14,925.0,2.74,39.5,-121.58,2.1658
1098,1098,1099,20.0,5.86,1.11,745.0,2.98,39.59,-121.9,3.0625
15463,15463,15590,18.0,6.79,1.3,1754.0,2.67,32.9,-116.52,4.57
3086,3086,3102,15.0,5.55,0.98,1408.0,2.4,35.64,-117.68,5.2043
11273,11273,11364,24.0,5.88,1.01,2468.0,3.46,33.73,-117.94,5.2563
6458,6458,6508,19.0,4.2,1.06,1427.0,3.86,34.07,-118.07,3.125
15681,15681,15812,52.0,4.51,1.03,1531.0,1.86,37.76,-122.43,3.3565
7551,7551,7610,37.0,4.6,1.12,1016.0,4.06,33.88,-118.22,2.125
13369,13369,13478,26.0,5.8,1.16,664.0,2.78,34.07,-117.39,3.0278
6906,6906,6959,37.0,4.98,1.06,2117.0,3.54,34.0,-118.07,4.1058
3439,3439,3459,38.0,4.88,0.96,1181.0,3.61,34.3,-118.44,3.4
9544,9544,9616,12.0,4.87,1.02,1658.0,2.83,37.28,-120.44,2.3929
6288,6288,6338,16.0,6.23,1.01,10988.0,3.59,33.96,-117.88,5.5469
15647,15647,15777,52.0,2.61,1.13,2124.0,2.87,37.78,-122.41,1.1185
20409,20409,20589,48.0,4.77,1.07,938.0,2.51,39.15,-121.59,1.6652
8391,8391,8455,32.0,4.17,0.92,928.0,2.33,33.91,-118.35,4.3187
8640,8640,8704,36.0,5.57,1.02,668.0,2.73,33.84,-118.33,5.3131
19370,19370,19534,26.0,5.72,1.36,855.0,2.78,37.64,-120.9,1.6767
7246,7246,7300,33.0,3.2,1.06,1615.0,4.56,33.99,-118.2,2.1468
20183,20183,20358,25.0,6.13,0.91,1121.0,3.07,34.18,-118.95,6.0994
16119,16119,16252,43.0,4.56,1.06,749.0,3.6,37.96,-121.27,1.962
3960,3960,3984,30.0,6.36,0.99,1062.0,2.82,34.19,-118.64,6.0094
6555,6555,6605,45.0,5.74,1.01,1035.0,3.32,34.19,-118.17,4.0985
8844,8844,8909,19.0,3.32,1.04,414.0,1.52,34.03,-118.48,1.3333
18907,18907,19063,18.0,6.82,1.13,550.0,2.53,38.31,-122.42,4.7356
877,877,878,33.0,4.96,1.03,909.0,3.4,37.55,-122.02,4.5687
7434,7434,7492,19.0,3.74,0.85,354.0,4.07,33.93,-118.24,2.75
12498,12498,12598,37.0,4.95,1.08,955.0,2.49,38.52,-121.49,3.1014
18728,18728,18881,52.0,3.59,1.25,173.0,2.51,38.1,-122.25,2.3
10552,10552,10632,16.0,8.15,1.23,597.0,2.93,33.7,-117.78,5.409
16115,16115,16248,52.0,5.5,1.08,414.0,2.42,37.98,-121.28,2.1429
13089,13089,13193,34.0,5.39,0.98,2470.0,3.28,34.07,-117.69,3.8586
9309,9309,9378,2.0,5.48,1.15,203.0,1.72,37.91,-122.51,6.641
13174,13174,13279,44.0,4.68,1.03,831.0,2.55,34.1,-117.65,3.0284
5616,5616,5661,44.0,3.44,1.03,2090.0,3.88,33.74,-118.28,1.8584
14195,14195,14311,39.0,3.44,1.0,2176.0,4.54,32.71,-117.14,1.7642
3989,3989,4013,32.0,6.34,1.06,1628.0,2.58,34.16,-118.6,6.0794
3142,3142,3158,24.0,7.29,1.16,667.0,3.62,35.26,-118.95,4.0
3319,3319,3336,12.0,7.02,1.3,877.0,2.57,38.82,-122.5,2.5625
12622,12622,12723,38.0,6.66,1.04,685.0,2.48,38.59,-121.38,4.5313
7480,7480,7538,26.0,4.15,1.08,2601.0,4.46,33.91,-118.21,1.7824
16504,16504,16641,16.0,3.5,0.97,1689.0,2.6,35.29,-120.66,1.7031
5456,5456,5498,18.0,2.87,0.97,884.0,1.94,34.0,-118.41,2.9338
16393,16393,16529,35.0,6.3,1.02,1316.0,3.31,37.82,-121.17,3.8472
12842,12842,12944,40.0,6.86,1.09,415.0,2.59,38.64,-121.26,4.8375
19913,19913,20087,14.0,6.19,1.05,822.0,2.62,38.0,-120.33,3.5
7014,7014,7067,36.0,5.72,1.05,816.0,2.96,33.95,-118.01,4.4318
14648,14648,14766,33.0,4.91,0.95,330.0,4.12,32.58,-117.1,4.1029
12436,12436,12536,45.0,5.08,1.06,1341.0,2.25,38.55,-121.51,2.8417
17921,17921,18072,35.0,5.65,0.97,1449.0,2.61,37.28,-122.0,5.7295
20330,20330,20508,42.0,3.25,1.14,1372.0,2.45,38.58,-121.51,1.2542
10008,10008,10082,8.0,26.37,3.96,203.0,2.86,39.35,-120.22,4.5882
8326,8326,8390,21.0,3.83,1.12,2515.0,2.66,33.97,-118.37,2.7464
10954,10954,11041,22.0,8.94,1.03,1057.0,3.26,33.82,-117.81,10.8111
5714,5714,5759,17.0,3.88,1.07,2986.0,3.01,34.17,-118.29,2.3482
7255,7255,7310,36.0,3.61,1.07,1398.0,3.96,33.99,-118.19,2.4516
13897,13897,14010,52.0,7.19,0.97,434.0,2.41,32.76,-117.19,5.7914
3030,3030,3046,34.0,5.48,1.08,1101.0,3.14,35.5,-119.28,2.4044
3730,3730,3752,33.0,4.05,1.16,739.0,1.89,34.17,-118.38,2.8208
616,616,617,52.0,7.19,0.9,317.0,2.22,37.73,-122.15,4.9135
18668,18668,18821,48.0,8.8,2.01,358.0,2.47,39.56,-120.92,1.875
3384,3384,3403,37.0,6.7,1.14,702.0,2.65,34.26,-118.34,5.2661
15868,15868,16000,52.0,4.82,0.96,819.0,2.57,37.74,-122.47,4.0846
17413,17413,17559,30.0,3.82,1.04,1438.0,4.42,37.32,-121.88,2.6607
18118,18118,18270,31.0,7.13,0.99,1001.0,2.63,37.36,-122.08,9.281
20416,20416,20596,33.0,6.16,1.14,914.0,2.77,39.16,-121.57,2.6964
8006,8006,8068,45.0,5.56,0.99,591.0,2.14,33.83,-118.18,4.2411
10606,10606,10687,9.0,4.61,0.91,1111.0,2.05,33.64,-117.75,5.5342
9252,9252,9319,52.0,1.55,0.9,228.0,1.73,37.97,-122.53,1.9063
2048,2048,2059,39.0,5.18,1.07,638.0,2.67,36.63,-119.68,3.0139
18951,18951,19107,16.0,4.83,0.98,477.0,1.51,38.27,-122.66,2.1696
3335,3335,3354,15.0,5.92,1.11,2503.0,2.77,40.5,-120.67,3.5962
7236,7236,7290,36.0,3.38,1.01,1496.0,3.34,33.98,-118.22,2.1044
18389,18389,18541,52.0,5.14,1.37,508.0,2.14,36.95,-122.01,2.0547
5479,5479,5521,45.0,5.17,0.96,581.0,2.21,33.96,-118.39,5.8143
2985,2985,3000,10.0,4.79,0.84,447.0,2.58,35.3,-119.03,4.1484
15938,15938,16070,45.0,5.34,1.05,1092.0,2.49,37.75,-122.49,4.8036
5338,5338,5380,24.0,3.84,1.11,491.0,1.71,34.03,-118.4,3.2222
3038,3038,3054,33.0,4.21,0.96,1732.0,3.4,35.6,-119.34,1.9362
17975,17975,18127,30.0,6.64,0.97,467.0,2.99,37.34,-122.02,6.448
6615,6615,6665,36.0,6.28,1.21,1131.0,2.47,34.17,-118.09,4.3083
12513,12513,12613,23.0,4.96,1.05,2942.0,2.12,38.51,-121.52,3.0963
5791,5791,5837,41.0,4.06,1.05,1176.0,3.14,34.19,-118.34,2.875
13432,13432,13541,44.0,5.29,0.97,972.0,3.46,34.14,-117.31,3.2292
12640,12640,12741,37.0,6.05,1.09,951.0,2.63,38.61,-121.36,3.8882
8476,8476,8540,27.0,4.38,1.06,2141.0,3.3,33.89,-118.36,3.1325
13729,13729,13840,25.0,5.23,1.0,1338.0,2.75,34.54,-117.3,3.2596
19683,19683,19855,22.0,6.47,1.18,1076.0,3.82,36.35,-119.45,2.3365
15258,15258,15382,17.0,5.66,1.15,1931.0,3.79,33.39,-117.14,3.8547
7356,7356,7412,42.0,3.92,0.99,4496.0,4.53,33.95,-118.22,3.153
1687,1687,1695,15.0,6.83,0.93,572.0,3.21,38.0,-122.27,5.8418
8988,8988,9054,34.0,4.36,1.12,1078.0,2.42,34.7,-118.13,1.1296
2643,2643,2657,17.0,8.09,1.64,393.0,2.41,40.06,-124.08,2.625
1207,1207,1208,39.0,6.66,1.08,408.0,2.46,39.48,-121.79,3.3929
368,368,368,46.0,6.19,1.05,429.0,2.79,37.75,-122.16,2.925
19211,19211,19371,27.0,6.54,1.17,195.0,2.71,37.92,-120.84,3.3333
15451,15451,15577,16.0,6.06,1.02,1818.0,3.44,33.02,-116.88,5.2596
19926,19926,20100,52.0,5.06,1.08,609.0,2.51,37.96,-120.23,2.0057
19301,19301,19463,24.0,5.0,0.81,347.0,2.46,37.68,-120.98,3.1912
19838,19838,20011,27.0,4.97,1.01,1063.0,3.35,36.05,-119.12,2.1477
16265,16265,16401,27.0,6.48,1.05,373.0,2.85,37.98,-121.23,5.0362
15281,15281,15407,18.0,4.19,1.03,962.0,1.73,33.22,-117.23,1.808
7675,7675,7734,30.0,5.27,1.07,1676.0,2.86,33.93,-118.15,4.6583
